XValue;YValue;codramal;ZMC
-7.71475105;38.02595249;973015;2900
-7.71497422;38.02595539;973016;2900
-7.71488732;38.02595437;973017;2900
-7.7150403;38.02595598;973018;2900
-7.71495398;38.02601421;973019;2900
-7.71547896;38.02623045;973020;2900
-7.71485183;38.02595407;973021;2900
-7.7150583;38.02601374;973022;2900
-7.71421905;38.02607548;994001;2900
-7.71390667;38.02569239;994002;2900
-7.71393904;38.02572861;994003;2900
-7.71474559;38.02609115;994004;2900
-7.71406078;38.02586817;994005;2900
-7.71418701;38.0260308;994006;2900
-7.71503972;38.02630282;994007;2900
-7.7143997;38.02632185;994008;2900
-7.71501963;38.02658146;994009;2900
-7.71398339;38.02577601;994010;2900
-7.71434317;38.02624726;994011;2900
-7.71403217;38.02583434;994012;2900
-7.71455006;38.02651343;994013;2900
-7.7146868;38.02668637;994014;2900
-7.71431088;38.02620422;994015;2900
-7.71429415;38.02618;994016;2900
-7.71478403;38.02615193;994017;2900
-7.71437198;38.02628345;994018;2900
-7.71449262;38.02644227;994019;2900
-7.71408927;38.0259024;994020;2900
-7.71489881;38.0264285;994021;2900
-7.71427655;38.02615548;994022;2900
-7.71473642;38.0260656;994023;2900
-7.714912;38.02671784;994024;2900
-7.71443779;38.02636906;994025;2900
-7.7149641;38.02634013;994026;2900
-7.71415393;38.02598518;994027;2900
-7.71500729;38.02631872;994028;2900
-7.71412327;38.02594624;994029;2900
-7.7146506;38.02663947;994030;2900
-7.71425088;38.026119;994031;2900
-7.7145813;38.0265517;994032;2900
-7.71386408;38.02564099;994033;2900
-7.71506908;38.02629162;994034;2900
-7.71554789;38.02685278;1003001;2900
-7.71516009;38.02718491;1003002;2900
-7.7150191;38.02706466;1003003;2900
-7.71576635;38.02703318;1003004;2900
-7.715216;38.02699666;1003005;2900
-7.71533013;38.02696772;1003006;2900
-7.71500763;38.0270399;1003007;2900
-7.71506946;38.02716346;1003008;2900
-7.7152872;38.02697758;1003009;2900
-7.71528616;38.02685477;1003010;2900
-7.7153959;38.02690195;1003011;2900
-7.71505214;38.02712557;1003012;2900
-7.71547713;38.02688865;1003013;2900
-7.7149865;38.02699429;1003014;2900
-7.71579154;38.0267873;1003015;2900
-7.7151222;38.02707543;1003016;2900
-7.71513179;38.02694929;1003017;2900
-7.71554845;38.02711495;1003018;2900
-7.71581018;38.0267044;1003019;2900
-7.71526571;38.02698334;1003020;2900
-7.71568852;38.02707271;1003021;2900
-7.71503643;38.02709094;1003022;2900
-7.7155189;38.02686824;1003023;2900
-7.71549267;38.0271454;1003024;2900
-7.7150997;38.02687963;1003025;2900
-7.71394102;38.02522133;1006004;2900
-7.71380276;38.02518977;1006012;2900
-7.71600796;38.02559782;1027001;2900
-7.71533178;38.02664344;1133001;2900
-7.71545014;38.02653825;1133002;2900
-7.71530056;38.02660623;1133003;2900
-7.71478951;38.02680384;1133004;2900
-7.71533624;38.02659242;1133005;2900
-7.71543948;38.02661208;1133006;2900
-7.71551642;38.02649472;1133007;2900
-7.71498995;38.02673009;1133008;2900
-7.7162449;38.02635401;1133009;2900
-7.71548891;38.02659565;1133010;2900
-7.71558841;38.0265614;1133011;2900
-7.71554161;38.02657723;1133012;2900
-7.71604617;38.02642254;1133013;2900
-7.71491669;38.02675585;1133014;2900
-7.71581992;38.0264926;1133015;2900
-7.71574047;38.02651394;1133016;2900
-7.71600995;38.02628783;1133017;2900
-7.71518742;38.02668711;1133018;2900
-7.71539959;38.02656338;1133019;2900
-7.71527851;38.02665772;1133020;2900
-7.71523544;38.02667096;1133021;2900
-7.7152253;38.02663498;1133022;2900
-7.71578965;38.02637097;1133023;2900
-7.7156508;38.02654205;1133024;2900
-7.71569431;38.02653102;1133025;2900
-7.71599122;38.02643957;1133026;2900
-7.71560092;38.02644089;1133027;2900
-7.71588037;38.02634113;1133028;2900
-7.71587933;38.02647381;1133029;2900
-7.71594017;38.02631461;1133030;2900
-7.71506013;38.02656774;1133031;2900
-7.71394622;38.02588874;1414001;2900
